id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
df11d666829a9907c4c99ba9,&Maximum,&Maximal,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,23dda5ef41b149c96bf51068,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
df250a93552b6b5ec3c306c4,Find file,Sök fil,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,00dc2dade08a86a18c2bf644,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
df31cd7c2760e7051e700675,Cre&ate archive,Sk&apa arkiv,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b9da3552de73973a83ad0cc9,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
df7c54b667c05155b4d3e0f3,Function key 19,Funktionstangent 19,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e85a84e3171c1be692c03ac1,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
df90eb4e5af0a233155e1ece,Legacy Lua scripts:,Äldre Lua-skript:,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,b1cb9e4612c1563aadb416a2,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
dfb2619b27ef9908054a76ab,No other formats are enabled,Inga andra format är aktiverade,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,f8392f7f8a1ca1d0bf069b50,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
dfc3e0bdb27a8e545bd98464,Failed to save settings.,Kunde inte spara inställningar.,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ed6576f64e939bcbdb279fd3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
dfc90eb27a1bc1f7b544e13f,Clone Connection,Klona anslutning,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,5b18d1952a5cd3d16943a222,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
dfde442b172c0315bf157d7d,Screen lis&t,Skä&rmlista,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1c6d7eafc3e96ca7b480f1f6,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
dfe61051eabaca4116b8fe16,truncated table rows,trunkerade tabellrader,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,73ce7868e1b6df336d3c7818,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
e050fc7f23d8b20f5ac249ad,Archive browser,Arkivbläddrare,mc6,sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,d1cd5a70558496886956c422,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/mc6/sv.po,54fab10b40965a671269d9486ef9cd0a083ee60162f472c40da910f0944524a4,{}
